date,hour,icetype
2019/10/22,16,2
2019/10/22,17,3
2019/10/22,18,3
2019/10/22,19,3
2019/10/22,20,-9
2019/10/22,21,-9
2019/10/22,22,-9
2019/10/22,23,-9
2019/10/23,0,-9
2019/10/23,1,-9
2019/10/23,2,-9
2019/10/23,3,-8
2019/10/23,4,-8
2019/10/23,5,-8
2019/10/23,6,-8
2019/10/23,7,-8
2019/10/23,8,-8
2019/10/23,9,-8
2019/10/23,10,-8
2019/10/23,11,5
2019/10/23,12,5
2019/10/23,13,6
2019/10/23,14,6
2019/10/23,15,6
2019/10/23,16,6
2019/10/23,17,6
2019/10/23,18,6
2019/10/23,19,6
2019/10/23,20,-9
2019/10/23,21,-9
2019/10/23,22,-9
2019/10/23,23,-9
2019/10/24,0,-9
2019/10/24,1,-9
2019/10/24,2,-9
2019/10/24,3,-9
2019/10/24,4,7
2019/10/24,5,7
2019/10/24,6,7
2019/10/24,7,6
2019/10/24,8,6
2019/10/24,9,6
2019/10/24,10,6
2019/10/24,11,6
2019/10/24,12,5
2019/10/24,13,5
2019/10/24,14,6
2019/10/24,15,5
2019/10/24,16,6
2019/10/24,17,6
2019/10/24,18,-8
2019/10/24,19,-8
2019/10/24,20,-9
2019/10/24,21,-9
2019/10/24,22,-9
2019/10/24,23,-9
2019/10/25,0,-9
2019/10/25,1,-9
2019/10/25,2,-9
2019/10/25,3,-9
2019/10/25,4,-8
2019/10/25,5,-8
2019/10/25,6,-8
2019/10/25,7,-8
2019/10/25,8,5
2019/10/25,9,5
2019/10/25,10,6
2019/10/25,11,5
2019/10/25,12,3
2019/10/25,13,6
2019/10/25,14,6
2019/10/25,15,6
2019/10/25,16,6
2019/10/25,17,5
2019/10/25,18,6
2019/10/25,19,5
2019/10/25,20,-9
2019/10/25,21,-9
2019/10/25,22,-9
2019/10/25,23,-9
2019/10/26,0,-9
2019/10/26,1,-9
2019/10/26,2,-9
2019/10/26,3,-9
2019/10/26,4,6
2019/10/26,5,6
2019/10/26,6,6
2019/10/26,7,6
2019/10/26,8,6
2019/10/26,9,6
2019/10/26,10,6
2019/10/26,11,6
2019/10/26,12,6
2019/10/26,13,6
2019/10/26,14,6
2019/10/26,15,-8
2019/10/26,16,-8
2019/10/26,17,-8
2019/10/26,18,-8
2019/10/26,19,-8
2019/10/26,20,-9
2019/10/26,21,-9
2019/10/26,22,-9
2019/10/26,23,-9
2019/10/27,0,-9
2019/10/27,1,-9
2019/10/27,2,-9
2019/10/27,3,-9
2019/10/27,4,6
2019/10/27,5,6
2019/10/27,6,6
2019/10/27,7,6
2019/10/27,8,6
2019/10/27,9,6
2019/10/27,10,6
2019/10/27,11,6
2019/10/27,12,6
2019/10/27,13,6
2019/10/27,14,6
2019/10/27,15,6
2019/10/27,16,6
2019/10/27,17,6
2019/10/27,18,6
2019/10/27,19,6
2019/10/27,20,-9
2019/10/27,21,-9
2019/10/27,22,-9
2019/10/27,23,-9
2019/10/28,0,-9
2019/10/28,1,-9
2019/10/28,2,-9
2019/10/28,3,-9
2019/10/28,4,6
2019/10/28,5,5
2019/10/28,6,6
2019/10/28,7,6
2019/10/28,8,5
2019/10/28,9,6
2019/10/28,10,6
2019/10/28,11,6
2019/10/28,12,6
2019/10/28,13,6
2019/10/28,14,6
2019/10/28,15,6
2019/10/28,16,6
2019/10/28,17,6
2019/10/28,18,-8
2019/10/28,19,-8
2019/10/28,20,-9
2019/10/28,21,-9
2019/10/28,22,-9
2019/10/28,23,-9
2019/10/29,0,-9
2019/10/29,1,-9
2019/10/29,2,-9
2019/10/29,3,-9
2019/10/29,4,6
2019/10/29,5,6
2019/10/29,6,6
2019/10/29,7,6
2019/10/29,8,6
2019/10/29,9,6
2019/10/29,10,6
2019/10/29,11,6
2019/10/29,12,6
2019/10/29,13,6
2019/10/29,14,6
2019/10/29,15,6
2019/10/29,16,6
2019/10/29,17,6
2019/10/29,18,5
2019/10/29,19,5
2019/10/29,20,-9
2019/10/29,21,-9
2019/10/29,22,-9
2019/10/29,23,-9
2019/10/30,0,-9
2019/10/30,1,-9
2019/10/30,2,-9
2019/10/30,3,-9
2019/10/30,4,5
2019/10/30,5,6
2019/10/30,6,5
2019/10/30,7,6
2019/10/30,8,6
2019/10/30,9,6
2019/10/30,10,6
2019/10/30,11,5
2019/10/30,12,5
2019/10/30,13,6
2019/10/30,14,5
2019/10/30,15,5
2019/10/30,16,5
2019/10/30,17,6
2019/10/30,18,5
2019/10/30,19,6
2019/10/30,20,-9
2019/10/30,21,-9
2019/10/30,22,-9
2019/10/30,23,-9
2019/10/31,0,-9
2019/10/31,1,-9
2019/10/31,2,-9
2019/10/31,3,-9
2019/10/31,4,-8
2019/10/31,5,-8
2019/10/31,6,-8
2019/10/31,7,-8
2019/10/31,8,-8
2019/10/31,9,-8
2019/10/31,10,-8
2019/10/31,11,6
2019/10/31,12,6
2019/10/31,13,6
2019/10/31,14,6
2019/10/31,15,6
2019/10/31,16,4
2019/10/31,17,4
2019/10/31,18,4
2019/10/31,19,4
2019/10/31,20,-9
2019/10/31,21,-9
2019/10/31,22,-9
2019/10/31,23,-9
2019/11/01,0,-9
2019/11/01,1,-9
2019/11/01,2,-9
2019/11/01,3,-9
2019/11/01,4,4
2019/11/01,5,4
2019/11/01,6,4
2019/11/01,7,2
2019/11/01,8,1
2019/11/01,9,1
2019/11/01,10,1
2019/11/01,11,1
2019/11/01,12,1
2019/11/01,13,1
2019/11/01,14,1
2019/11/01,15,1
2019/11/01,16,1
2019/11/01,17,1
2019/11/01,18,1
2019/11/01,19,1
2019/11/01,20,-9
2019/11/01,21,-9
2019/11/01,22,-9
2019/11/01,23,-9
