date,hour,icetype
2019/07/27,2,-9
2019/07/27,3,-9
2019/07/27,4,-7
2019/07/27,5,-9
2019/07/27,6,-7
2019/07/27,7,-9
2019/07/27,8,6
2019/07/27,9,6
2019/07/27,10,6
2019/07/27,11,6
2019/07/27,12,6
2019/07/27,13,6
2019/07/27,14,6
2019/07/27,15,6
2019/07/27,16,6
2019/07/27,17,6
2019/07/27,18,-9
2019/07/27,19,-9
2019/07/27,20,-9
2019/07/27,21,-9
2019/07/27,22,-9
2019/07/27,23,-9
2019/07/28,0,-9
2019/07/28,1,-9
2019/07/28,2,-9
2019/07/28,3,-9
2019/07/28,4,-9
2019/07/28,5,-9
2019/07/28,6,-9
2019/07/28,7,-9
2019/07/28,8,6
2019/07/28,9,-7
